epoch,sac/log_pi,sac/policy_loss,sac/qf1_loss,sac/qf2_loss,sac/alpha_loss,sac/alpha,sac/average_qf1,sac/average_qf2,sac/average_target_q,sac/total_steps,sac/cql/cql_std_q1,sac/cql/cql_std_q2,sac/cql/cql_q1_rand,sac/cql/cql_q2_rand,sac/cql/cql_min_qf1_loss,sac/cql/cql_min_qf2_loss,sac/cql/cql_qf1_diff,sac/cql/cql_qf2_diff,sac/cql/cql_q1_current_actions,sac/cql/cql_q2_current_actions,sac/cql/cql_q1_next_actions,sac/cql/cql_q2_next_actions,sac/cql/alpha_prime_loss,sac/cql/alpha_prime,average_return,average_traj_length,average_normalizd_return,train_time,eval_time,epoch_time
25,2.8317160606384277,-219.46803283691406,4.560865879058838,4.795483112335205,-0.227113276720047,0.2593482732772827,219.81564331054688,220.33059692382812,219.72801208496094,26000,5.9764251708984375,6.115370273590088,209.59727478027344,209.59678649902344,10.604803085327148,9.903173446655273,2.1209607124328613,1.9806346893310547,220.61074829101562,221.0155792236328,219.4935302734375,219.6746826171875,0.0,0.0,904.40155,320.2,0.28411533229527136,20.91273522377014,5.7220458984375e-06,20.91274094581604
26,2.9749205112457275,-221.83343505859375,9.766693115234375,9.898514747619629,-0.03411492705345154,0.25659048557281494,222.40023803710938,222.5726318359375,222.657470703125,27000,5.986159801483154,5.865420341491699,212.0515594482422,212.494384765625,9.76640510559082,10.336172103881836,1.953281044960022,2.067234516143799,223.0765838623047,223.3068084716797,221.491455078125,221.7783660888672,0.0,0.0,904.40155,320.2,0.28411533229527136,20.628583431243896,6.198883056640625e-06,20.628589630126953
27,3.084162950515747,-212.89849853515625,5.372289180755615,5.54875373840332,0.11370668560266495,0.25897324085235596,213.31793212890625,213.61636352539062,215.18142700195312,28000,5.923392295837402,6.103550434112549,203.00242614746094,202.9271240234375,10.233678817749023,10.239639282226562,2.0467357635498047,2.0479278564453125,214.056396484375,214.29087829589844,212.4412384033203,212.67478942871094,0.0,0.0,904.40155,320.2,0.28411533229527136,20.93405055999756,6.4373016357421875e-06,20.934056997299194
28,2.998584508895874,-227.23863220214844,5.054614543914795,6.11649227142334,-0.0019031930714845657,0.2606610357761383,228.001953125,227.63751220703125,227.49691772460938,29000,5.795623302459717,5.795588493347168,218.1464385986328,217.6656036376953,11.414594650268555,11.17841911315918,2.282918930053711,2.2356839179992676,228.77964782714844,228.38720703125,227.6047821044922,227.091796875,0.0,0.0,904.40155,320.2,0.28411533229527136,19.727132081985474,5.9604644775390625e-06,19.72713804244995
29,3.0831611156463623,-226.4027099609375,6.6832990646362305,5.574182033538818,0.11217539012432098,0.2595274746417999,227.4493408203125,226.69435119628906,226.44212341308594,30000,5.933357238769531,6.07943058013916,217.27830505371094,216.308349609375,10.703840255737305,11.339481353759766,2.140768051147461,2.2678961753845215,228.2080078125,227.5325164794922,226.9447021484375,226.28086853027344,0.0,0.0,809.6019,288.8,0.2549871897585537,20.682665586471558,1.8912458419799805,22.573911428451538
30,2.718782424926758,-231.33641052246094,5.241616725921631,3.8539509773254395,-0.3792581558227539,0.259595662355423,232.3663330078125,232.0,232.01919555664062,31000,5.90929651260376,5.883320331573486,222.19790649414062,221.7200164794922,10.154865264892578,9.628402709960938,2.030972957611084,1.9256806373596191,232.9872589111328,232.50376892089844,231.61221313476562,231.09780883789062,0.0,0.0,809.6019,288.8,0.2549871897585537,21.02987790107727,5.9604644775390625e-06,21.029883861541748
31,2.9022083282470703,-232.99542236328125,4.679563522338867,5.617143630981445,-0.13209596276283264,0.25903573632240295,233.60687255859375,233.292724609375,232.8572998046875,32000,5.937884330749512,6.278570175170898,223.4324188232422,222.56436157226562,11.158172607421875,11.8109130859375,2.2316346168518066,2.3621826171875,234.316162109375,234.1411895751953,232.9861297607422,232.80894470214844,0.0,0.0,809.6019,288.8,0.2549871897585537,21.831453323364258,6.67572021484375e-06,21.831459999084473
32,2.9316959381103516,-239.4899444580078,7.5388031005859375,7.054915904998779,-0.09207677841186523,0.25974830985069275,239.90542602539062,240.24252319335938,239.06289672851562,33000,6.222110748291016,6.177177429199219,229.34487915039062,229.6833953857422,10.874454498291016,10.990972518920898,2.1748909950256348,2.1981945037841797,240.7022247314453,241.03001403808594,239.53369140625,239.74229431152344,0.0,0.0,809.6019,288.8,0.2549871897585537,19.83083963394165,5.9604644775390625e-06,19.830845594406128
33,3.1268506050109863,-224.2811279296875,4.8104448318481445,4.063370704650879,0.17125999927520752,0.25921615958213806,224.98231506347656,224.7814178466797,225.263671875,34000,6.229344367980957,6.331933975219727,214.26553344726562,213.82730102539062,9.854727745056152,9.715567588806152,1.9709455966949463,1.9431134462356567,225.79678344726562,225.520263671875,224.4428253173828,224.2268524169922,0.0,0.0,809.6019,288.8,0.2549871897585537,20.949946880340576,6.198883056640625e-06,20.949953079223633
34,2.9242172241210938,-235.64511108398438,5.94489860534668,5.091834545135498,-0.10260550677776337,0.2582208812236786,236.52975463867188,236.10064697265625,236.30517578125,35000,6.301572799682617,6.406458854675293,225.60302734375,224.8813934326172,9.745129585266113,9.904351234436035,1.9490258693695068,1.980870246887207,237.2520751953125,236.806884765625,235.9464111328125,235.43785095214844,0.0,0.0,809.6019,288.8,0.2549871897585537,20.399999380111694,6.198883056640625e-06,20.40000557899475
35,2.97953200340271,-244.95765686035156,8.283088684082031,9.071825981140137,-0.02767840400338173,0.25865018367767334,245.408935546875,245.2554473876953,245.23782348632812,36000,6.397748947143555,6.579181671142578,234.5668487548828,234.03042602539062,10.873100280761719,11.225488662719727,2.1746201515197754,2.2450976371765137,246.35586547851562,246.2726287841797,244.73013305664062,244.52734375,0.0,0.0,809.6019,288.8,0.2549871897585537,20.286073207855225,5.7220458984375e-06,20.286078929901123
36,2.793849468231201,-235.91819763183594,7.3025102615356445,6.175139427185059,-0.2770788073539734,0.2607843279838562,236.51739501953125,236.3719482421875,237.59982299804688,37000,6.191808700561523,6.224168300628662,225.8870086669922,225.6636505126953,10.235345840454102,10.490467071533203,2.0470690727233887,2.0980935096740723,237.28857421875,237.1436004638672,235.79031372070312,235.73876953125,0.0,0.0,809.6019,288.8,0.2549871897585537,19.503932237625122,5.9604644775390625e-06,19.5039381980896
37,3.088111639022827,-240.50714111328125,8.872098922729492,8.159585952758789,0.11845375597476959,0.26070618629455566,241.0575714111328,241.197509765625,240.054931640625,38000,5.801916122436523,6.058917999267578,231.0218505859375,230.62109375,10.841150283813477,10.754790306091309,2.1682300567626953,2.1509580612182617,241.82595825195312,241.89146423339844,240.3794403076172,240.4578094482422,0.0,0.0,809.6019,288.8,0.2549871897585537,21.66378355026245,6.198883056640625e-06,21.663789749145508
38,3.1014187335968018,-248.82089233398438,8.901741027832031,9.486410140991211,0.1371881067752838,0.2585436701774597,249.26651000976562,249.58262634277344,249.32974243164062,39000,6.325314998626709,6.681640625,238.45669555664062,238.07408142089844,10.404487609863281,10.091500282287598,2.080897569656372,2.0183000564575195,250.156982421875,250.31155395507812,248.80224609375,249.04051208496094,0.0,0.0,809.6019,288.8,0.2549871897585537,21.497647762298584,7.152557373046875e-06,21.497654914855957
39,2.9641175270080566,-252.2613067626953,5.512710094451904,4.5049519538879395,-0.04838629066944122,0.259635865688324,252.79681396484375,253.1028289794922,253.09043884277344,40000,6.532046794891357,6.497960567474365,241.546630859375,241.8296356201172,9.683355331420898,9.893526077270508,1.9366711378097534,1.9787052869796753,253.50584411621094,253.7911376953125,252.09263610839844,252.295654296875,0.0,0.0,2184.2651,795.4,0.6773662437666099,21.333276748657227,5.1906280517578125,26.52390480041504
40,3.1642258167266846,-246.01654052734375,4.8489580154418945,4.672603130340576,0.22048485279083252,0.2611732482910156,246.60089111328125,246.89132690429688,246.788330078125,41000,6.402106761932373,6.765164375305176,235.37144470214844,234.978271484375,9.22081470489502,9.252723693847656,1.844162940979004,1.8505446910858154,247.268310546875,247.56065368652344,245.9397430419922,246.1611785888672,0.0,0.0,2184.2651,795.4,0.6773662437666099,20.208075046539307,6.198883056640625e-06,20.208081245422363
41,3.2274115085601807,-242.41812133789062,7.224429607391357,6.7763166427612305,0.30585482716560364,0.2605555057525635,243.35665893554688,242.775146484375,243.81195068359375,42000,6.201648712158203,6.5056352615356445,232.773193359375,231.52952575683594,9.533503532409668,9.503695487976074,1.9067007303237915,1.900739073753357,244.1834259033203,243.56045532226562,242.68984985351562,241.9179229736328,0.0,0.0,2184.2651,795.4,0.6773662437666099,20.655311107635498,5.7220458984375e-06,20.655316829681396
42,2.6805317401885986,-247.8992919921875,6.068711757659912,6.7836809158325195,-0.4291861057281494,0.2609465718269348,248.50827026367188,248.67881774902344,248.052001953125,43000,6.083620548248291,6.321640968322754,238.0004425048828,237.60952758789062,10.031335830688477,9.77511978149414,2.0062670707702637,1.9550238847732544,249.1588897705078,249.2327117919922,247.737548828125,247.8887939453125,0.0,0.0,2184.2651,795.4,0.6773662437666099,22.2904851436615,7.62939453125e-06,22.29049277305603
43,2.927888870239258,-251.63365173339844,3.611538887023926,4.109960556030273,-0.09648752212524414,0.2623584270477295,252.22549438476562,252.0849151611328,251.74609375,44000,6.291939735412598,6.554747581481934,241.42796325683594,240.779296875,9.827719688415527,10.014080047607422,1.9655439853668213,2.0028159618377686,253.0836639404297,252.9498748779297,251.644287109375,251.49058532714844,0.0,0.0,2184.2651,795.4,0.6773662437666099,19.586560249328613,6.4373016357421875e-06,19.58656668663025
44,2.752077579498291,-240.64476013183594,6.056838512420654,6.872779846191406,-0.3332098126411438,0.2607983350753784,241.25892639160156,241.44842529296875,241.55517578125,45000,5.7088165283203125,6.177585124969482,231.46475219726562,230.81411743164062,10.639501571655273,10.570426940917969,2.1279003620147705,2.1140854358673096,241.9026641845703,242.12353515625,240.49046325683594,240.5856170654297,0.0,0.0,2184.2651,795.4,0.6773662437666099,20.092052936553955,1.0251998901367188e-05,20.092063188552856
45,3.0974597930908203,-254.30108642578125,5.330662250518799,5.483359336853027,0.13058678805828094,0.26187077164649963,254.91217041015625,255.07723999023438,255.90625,46000,6.560198783874512,6.7670392990112305,243.45217895507812,243.08096313476562,9.711247444152832,9.52090072631836,1.9422495365142822,1.9041800498962402,255.6193389892578,255.7544403076172,254.00169372558594,253.94424438476562,0.0,0.0,2184.2651,795.4,0.6773662437666099,20.30501127243042,7.152557373046875e-06,20.305018424987793
